# Dry Matter Yield - Marginal Land Experiments
#
# Original Data Source: https://data.sustainability.glbrc.org/datatables/465
# The newest version of the data https://data.sustainability.glbrc.org/datatables/465.csv
# Full EML Metadata: https://data.sustainability.glbrc.org/datasets/132.eml
#
# These Data are copyrighted and use in a publication requires permission
# as detailed in our Terms of use:  https://lter.kbs.msu.edu/data/terms-of-use/
# Use of the data constitutes acceptance of the terms.
#
#     VARIATE TABLE
# year		year of the growing season
# harvest_date		date of harvest or G11 sampling
# site		experiment location
# treatment		experimental treatment
# replicate		replicate nested within treatment
# crop		crop
# field_section		section of the field (entire, east, west, rainout, or ambient)
# n_treatment		nitrogen experimental treatment
# area_harvested_ft2	squareFoot	area harvested
# dry_matter_yield_mg_ha	megagramsPerHectare	yield as dry matter
# moisture_at_harvest	gramsPerHectogram	percent moisture measured at harvest
# comments		specific notes for a given row
#
#
#        DATA TABLE CORRECTIONS AND COMMENTS
#2014 yield calculations- Wisconsin removed the area of the ANPP sampling (3- 1m2 quadrats/plot).  Michigan did not remove the ANPP sampling area because the ANPP may not have been in the harvested area and this area was it was very minor.
#April 12, 2016- Michigan 2014 yield calculations and Michigan and Wisconsin 2015 G11 yield were corrected. 
#
year,harvest_date,site,treatment,replicate,crop,field_section,n_treatment,area_harvested_ft2,dry_matter_yield_mg_ha,moisture_at_harvest,comments
#,,,,,,,,squareFoot,megagramsPerHectare,gramsPerHectogram,
2014,2014-10-09,Wisconsin Central - Hancock,G10,R4,restored prairie,entire plot,control,1887.7,1.300000,34.40,
2014,2014-10-09,Wisconsin Central - Hancock,G11,R1,historical vegetation,entire plot,control,1887.7,0.600000,49.60,
2014,2014-10-09,Wisconsin Central - Hancock,G11,R2,historical vegetation,entire plot,control,1887.7,0.500000,58.10,
2014,2014-10-09,Wisconsin Central - Hancock,G11,R3,historical vegetation,entire plot,control,1887.7,0.200000,43.10,
2014,2014-10-09,Wisconsin Central - Hancock,G11,R4,historical vegetation,entire plot,control,1887.7,0.600000,24.20,
2014,2014-10-09,Wisconsin Central - Hancock,G5,R1,switchgrass,entire plot,control,1887.7,1.200000,57.20,
2014,2014-10-09,Wisconsin Central - Hancock,G5,R2,switchgrass,entire plot,control,1887.7,4.800000,58.20,
2014,2014-10-09,Wisconsin Central - Hancock,G5,R3,switchgrass,entire plot,control,1887.7,0.200000,55.60,
2014,2014-10-09,Wisconsin Central - Hancock,G5,R4,switchgrass,entire plot,control,1887.7,0.600000,63.00,
2014,,Wisconsin Central - Hancock,G6,R1,miscanthus,entire plot,control,,,,
2014,,Wisconsin Central - Hancock,G6,R2,miscanthus,entire plot,control,,,,
2014,,Wisconsin Central - Hancock,G6,R3,miscanthus,entire plot,control,,,,
2014,,Wisconsin Central - Hancock,G6,R4,miscanthus,entire plot,control,,,,
2014,2014-10-09,Wisconsin Central - Hancock,G7,R1,native grasses,entire plot,control,1887.7,0.900000,24.20,
2014,2014-10-09,Wisconsin Central - Hancock,G7,R2,native grasses,entire plot,control,1887.7,0.000000,41.70,
2014,2014-10-09,Wisconsin Central - Hancock,G7,R3,native grasses,entire plot,control,1887.7,0.700000,32.80,
2014,2014-10-09,Wisconsin Central - Hancock,G7,R4,native grasses,entire plot,control,1887.7,1.700000,28.40,
2014,2014-10-09,Wisconsin Central - Hancock,G9,R1,early successional,west,control,927.7,1.800000,43.60,
2014,2014-10-09,Wisconsin Central - Hancock,G9,R1,early successional,east,plus_n,927.7,0.600000,49.10,56 kg N/ha applied
2014,2014-10-09,Wisconsin Central - Hancock,G9,R2,early successional,west,control,927.7,0.500000,39.60,
2014,2014-10-09,Wisconsin Central - Hancock,G9,R2,early successional,east,plus_n,927.7,0.800000,48.10,56 kg N/ha applied
2014,2014-10-09,Wisconsin Central - Hancock,G9,R3,early successional,east,control,927.7,0.200000,37.10,56 kg N/ha applied
2014,2014-10-09,Wisconsin Central - Hancock,G9,R3,early successional,west,plus_n,927.7,0.300000,34.20,
2014,2014-10-09,Wisconsin Central - Hancock,G9,R4,early successional,west,control,927.7,1.200000,37.60,
2014,2014-10-09,Wisconsin Central - Hancock,G9,R4,early successional,east,plus_n,927.7,1.300000,30.90,56 kg N/ha applied
2014,2014-10-08,Wisconsin North - Rhinelander,G10,R1,restored prairie,entire plot,control,1887.7,2.000000,23.20,
2014,2014-10-08,Wisconsin North - Rhinelander,G10,R2,restored prairie,entire plot,control,1887.7,1.600000,48.10,
2014,2014-10-08,Wisconsin North - Rhinelander,G10,R3,restored prairie,entire plot,control,1887.7,2.000000,26.00,
2014,2014-10-08,Wisconsin North - Rhinelander,G10,R4,restored prairie,entire plot,control,,,,
2014,2014-10-08,Wisconsin North - Rhinelander,G11,R1,historical vegetation,entire plot,control,1887.7,0.900000,18.70,
2014,2014-10-08,Wisconsin North - Rhinelander,G11,R2,historical vegetation,entire plot,control,1887.7,1.700000,49.10,
2014,2014-10-08,Wisconsin North - Rhinelander,G11,R3,historical vegetation,entire plot,control,1887.7,1.600000,56.50,
2014,2014-10-08,Wisconsin North - Rhinelander,G11,R4,historical vegetation,entire plot,control,1887.7,2.300000,56.00,
2014,2014-10-08,Wisconsin North - Rhinelander,G5,R1,switchgrass,entire plot,control,1887.7,3.300000,60.80,
2014,2014-10-08,Wisconsin North - Rhinelander,G5,R2,switchgrass,entire plot,control,1887.7,3.800000,66.40,
2014,2014-10-08,Wisconsin North - Rhinelander,G5,R3,switchgrass,entire plot,control,1887.7,3.100000,65.80,
2014,2014-10-08,Wisconsin North - Rhinelander,G5,R4,switchgrass,entire plot,control,1887.7,1.700000,67.70,
2014,,Wisconsin North - Rhinelander,G6,R1,miscanthus,entire plot,control,,,,
2014,,Wisconsin North - Rhinelander,G6,R2,miscanthus,entire plot,control,,,,
2014,,Wisconsin North - Rhinelander,G6,R3,miscanthus,entire plot,control,,,,
2014,,Wisconsin North - Rhinelander,G6,R4,miscanthus,entire plot,control,,,,
2014,2014-10-08,Wisconsin North - Rhinelander,G7,R1,native grasses,entire plot,control,1887.7,0.400000,54.30,
2014,2014-10-08,Wisconsin North - Rhinelander,G7,R2,native grasses,entire plot,control,1887.7,0.800000,56.40,
2014,2014-10-08,Wisconsin North - Rhinelander,G7,R3,native grasses,entire plot,control,1887.7,0.400000,42.90,
2014,2014-10-08,Wisconsin North - Rhinelander,G7,R4,native grasses,entire plot,control,1887.7,0.600000,44.90,
2014,2014-10-08,Wisconsin North - Rhinelander,G9,R1,early successional,west,control,927.7,0.300000,47.60,
2014,2014-10-08,Wisconsin North - Rhinelander,G9,R1,early successional,east,plus_n,927.7,2.100000,34.80,56 kg N/ha applied
2014,2014-10-08,Wisconsin North - Rhinelander,G9,R2,early successional,west,control,927.7,1.300000,52.40,
2014,2014-10-08,Wisconsin North - Rhinelander,G9,R2,early successional,east,plus_n,927.7,2.500000,54.10,56 kg N/ha applied
2014,2014-10-08,Wisconsin North - Rhinelander,G9,R3,early successional,east,control,927.7,2.400000,53.00,56 kg N/ha applied
2014,2014-10-08,Wisconsin North - Rhinelander,G9,R3,early successional,west,plus_n,927.7,1.800000,49.90,
2014,2014-10-08,Wisconsin North - Rhinelander,G9,R4,early successional,east,control,927.7,1.800000,56.00,56 kg N/ha applied
2014,2014-10-08,Wisconsin North - Rhinelander,G9,R4,early successional,west,plus_n,927.7,0.700000,57.10,
2014,2014-10-07,Wisconsin South - Oregon,G10,R1,restored prairie,entire plot,control,1864.6,5.000000,49.20,
2014,2014-10-07,Wisconsin South - Oregon,G10,R2,restored prairie,entire plot,control,919.3,4.500000,46.70,Harvested on two separate days; reporting yield from second day of harvest.Further note information can be found in the biomass metadata folder.
2014,2014-10-02,Wisconsin South - Oregon,G10,R3,restored prairie,entire plot,control,1891.7,5.800000,44.80,
2014,2014-10-02,Wisconsin South - Oregon,G10,R4,restored prairie,entire plot,control,1891.7,5.100000,53.80,
2014,2014-10-02,Wisconsin South - Oregon,G11,R1,historical vegetation,entire plot,control,1887.7,0.800000,28.00,
2014,2014-10-02,Wisconsin South - Oregon,G11,R2,historical vegetation,entire plot,control,1887.7,1.900000,30.90,
2014,2014-10-02,Wisconsin South - Oregon,G11,R3,historical vegetation,entire plot,control,1887.7,1.400000,31.60,
2014,2014-10-02,Wisconsin South - Oregon,G11,R4,historical vegetation,entire plot,control,1887.7,1.600000,32.90,
2014,2014-10-07,Wisconsin South - Oregon,G5,R1,switchgrass,entire plot,control,1914.7,6.300000,58.40,
2014,2014-10-02,Wisconsin South - Oregon,G5,R2,switchgrass,entire plot,control,1852.7,8.800000,60.00,
2014,2014-10-02,Wisconsin South - Oregon,G5,R3,switchgrass,entire plot,control,1794.2,9.000000,61.40,
2014,2014-10-02,Wisconsin South - Oregon,G5,R4,switchgrass,entire plot,control,1885.2,8.200000,60.60,
2014,2014-10-02,Wisconsin South - Oregon,G6,R1,miscanthus,entire plot,control,1887.7,2.900000,39.70,
2014,2014-10-02,Wisconsin South - Oregon,G6,R2,miscanthus,entire plot,control,1887.7,4.100000,39.70,
2014,2014-10-02,Wisconsin South - Oregon,G6,R3,miscanthus,entire plot,control,1887.7,3.100000,42.60,
2014,2014-10-02,Wisconsin South - Oregon,G6,R4,miscanthus,entire plot,control,1887.7,3.400000,40.20,
2014,2014-10-07,Wisconsin South - Oregon,G7,R1,native grasses,entire plot,control,1931.9,2.400000,38.00,
2014,2014-10-02,Wisconsin South - Oregon,G7,R2,native grasses,entire plot,control,1923.7,2.800000,41.80,
2014,2014-10-02,Wisconsin South - Oregon,G7,R3,native grasses,entire plot,control,1870.5,3.100000,40.00,
2014,2014-10-02,Wisconsin South - Oregon,G7,R4,native grasses,entire plot,control,1818.9,2.100000,34.00,
2014,2014-10-07,Wisconsin South - Oregon,G9,R1,early successional,west,control,958.3,2.600000,56.80,
